ds,yhat,yhat_lower,yhat_upper
2024-01-01,3.7272899508456327,3.0840517663425318,4.368846399283941
2024-01-02,3.7873345067120625,3.156768713861086,4.462986399441235
2024-01-03,3.5314903981273638,2.9053037009352463,4.197847457144169
2024-01-05,4.0509624124236066,3.3939137324023405,4.7508983546263694
2024-01-06,4.171181138824201,3.4929701796618917,4.848469891334056
2024-01-07,3.946844254707731,3.2860045571181145,4.621267904771662
2024-01-08,3.6519105697576006,3.006807709231218,4.279424573413261
2024-01-09,3.950462767717339,3.3489621836698498,4.583969544011324
2024-01-11,4.1755151140347255,3.534086288650901,4.86025980814897
2024-01-12,4.093757106489289,3.444628728924543,4.738452477548784
2024-01-13,4.142299211967265,3.5506523918058064,4.781153484473856
2024-01-14,4.041268235771965,3.3764162050998303,4.704491882239648
2024-01-15,3.973803686156485,3.2977481111868743,4.652866996271185
2024-01-16,4.395633236454257,3.767162797470184,5.076492992905961
2024-01-17,4.138499897678205,3.4355193583949775,4.773056449377168
2024-01-18,4.190379003280049,3.501440151484355,4.830888756553227
2024-01-19,3.814488666186789,3.1938349438364453,4.4785233284628045
2024-01-21,3.7330216323269365,3.0635127124191492,4.397296816309704
2024-01-22,3.7772212798426694,3.1330363559482306,4.405578198884901
2024-01-23,4.2041918509348,3.5003988882345407,4.835455700901271
2024-01-24,3.8572205216603166,3.102792240345663,4.544016418820462
2024-01-25,3.8726958495176933,3.1849646436540215,4.545863661051519
2024-01-27,3.8936521591014466,3.167150848078686,4.55005082948998
2024-01-28,4.15659453208284,3.5455662928542098,4.841882793596611
2024-01-29,4.285201219594474,3.666291254627758,4.913808917687335
2024-01-30,4.5643366778150085,3.924767066281273,5.176499034888209
2024-01-31,3.969917270467293,3.2776213855083736,4.67871381033318
2024-02-01,3.8048023372641544,3.1411754029092616,4.4869667920073955
2024-02-02,3.520378905677834,2.809481072177624,4.181078642083705
2024-02-03,3.759755689744293,3.1012489142252093,4.438018911203826
2024-02-05,3.9919814273491987,3.379573758940233,4.65318926796051
2024-02-06,4.231659980386322,3.566491199574261,4.83990417051952
2024-02-07,3.755532640441678,3.104954295511477,4.41831780069271
2024-02-08,3.8307826284606694,3.1425847243620213,4.495747003627016
2024-02-09,3.7513096503493535,3.095505097258077,4.405571649738302
2024-02-11,4.090691737333367,3.461523588897479,4.763926294275541
2024-02-12,3.9829113358795527,3.3488216094930574,4.633424432285693
2024-02-13,4.254361874237337,3.6104463058940532,4.855824090165848
2024-02-14,3.9827045792474123,3.354002942673019,4.6133783938203115
2024-02-15,4.265794101398837,3.60698488857157,4.896101721386767
2024-02-16,4.199243894125308,3.559065937753936,4.844100355275516
2024-02-17,4.237294686445768,3.6159944853688097,4.9029763653340135
2024-02-18,3.9823519659151323,3.34331932593132,4.652018722851236
2024-02-19,3.664402973834587,3.046216209157466,4.348892815793578
2024-02-21,3.782163104380947,3.1369292105019695,4.418478089560431
2024-02-22,4.133202470770433,3.4656375288917203,4.7165396630387955
