ds,yhat,yhat_lower,yhat_upper
2024-01-01,4.184486267567381,3.546310107264581,4.865373319755333
2024-01-02,3.9407173334683074,3.298213893933731,4.572245445211896
2024-01-03,3.8657217983526646,3.1919337809374064,4.550484264428041
2024-01-05,4.1904089474924655,3.566279134059842,4.883495154220068
2024-01-06,4.189104041805473,3.5023234120674647,4.825556778831549
2024-01-07,4.06229219534947,3.4552211269980697,4.695776548039802
2024-01-08,4.114188376485683,3.4964608529953747,4.761094477505887
2024-01-09,3.8428148361964474,3.1767221154632437,4.488303011964466
2024-01-11,4.301783205913363,3.634383353847414,4.936652010099929
2024-01-12,4.6015505369848295,3.9913528932154074,5.264519481119412
2024-01-13,4.563691265158997,3.9039506909615342,5.21518495382044
2024-01-14,4.271124003332973,3.591488430630622,4.90533073538428
2024-01-15,4.1634397110510175,3.491684568536814,4.826364791835294
2024-01-16,3.8301666516951403,3.1867159848892284,4.476937859637833
2024-01-17,3.9098219035053807,3.221464083371301,4.553870486391786
2024-01-18,4.302755673209326,3.664874034851716,4.979780004246011
2024-01-19,4.545414638654933,3.882309627517188,5.200796852329996
2024-01-21,4.161213278845423,3.5204746402557863,4.861921909460687
2024-01-22,4.164378019945803,3.504634959430874,4.843639454757248
2024-01-23,3.9623814637478154,3.3001304573535233,4.6371579648881305
2024-01-24,4.0893660334959625,3.463780147410814,4.78038113446335
2024-01-25,4.426044990531698,3.8329868039719788,5.104001155214993
2024-01-27,4.546280296049443,3.8913713443956204,5.2157255940708565
2024-01-28,4.432665731679979,3.8092650731555047,5.085396357193024
2024-01-29,4.590415196832202,3.95157110598151,5.230105195773794
2024-01-30,4.356774022524246,3.7367149672625084,5.03106707688449
2024-01-31,4.213384229027322,3.5799030573668005,4.861947353190651
2024-02-01,4.176671371149359,3.527368983292353,4.799689288250505
2024-02-02,4.10476727749594,3.403806357679181,4.777697044068112
2024-02-04,4.142952116119892,3.483234232139463,4.777896818074424
2024-02-05,4.498072667759696,3.8376713411261547,5.1369201348285545
2024-02-06,4.301276421832447,3.639311778023856,4.91800486484525
2024-02-07,4.04948928562485,3.394049508772738,4.714563842903555
2024-02-08,3.9151599252785574,3.3054849458125237,4.567592710106297
