ds,yhat,yhat_lower,yhat_upper
2024-01-01,5.073407156010852,4.3784100414650124,5.739865173948679
2024-01-02,4.544431450475501,3.8743639129374334,5.208390616670858
2024-01-04,4.738638710838754,4.065454120976922,5.405432636942379
2024-01-05,4.729821983942815,4.019107070715335,5.387911364358189
2024-01-06,4.7613492805327535,4.0987841670104,5.458612055701627
2024-01-08,5.1042209451657605,4.462365661318689,5.7437929427198355
2024-01-09,4.676555597854711,4.003609310077917,5.380138195956665
2024-01-10,4.895285989138347,4.163959462535071,5.542035138986761
2024-01-12,4.988217309776598,4.341696252081361,5.659967996041732
2024-01-13,4.95712050616188,4.3231844525820655,5.608960285101766
2024-01-14,5.168281786740729,4.427323310488124,5.806051911100851
2024-01-16,4.794914721857182,4.167278468701837,5.433261649038816
2024-01-17,5.011470106454493,4.335724547841229,5.635682128959332
2024-01-19,5.02813879817697,4.339828273108416,5.68998625034599
2024-01-20,4.960297653469321,4.322579457275107,5.650688740282331
2024-01-21,5.16045555878369,4.479280814893289,5.863952952936143
2024-01-23,4.763774515529674,4.106240959759467,5.463728140934475
2024-01-24,4.9205397704371885,4.272708223734149,5.551825647583123
2024-01-26,4.820962275841908,4.188949215991165,5.4879061654495835
2024-01-27,4.7745995360597995,4.136749980336462,5.454284766527879
2024-01-28,5.047986181031297,4.442729767889332,5.748601953256819
2024-01-30,4.75943566411962,4.1102372415175,5.385689680561719
2024-01-31,4.886712664709786,4.243309788622736,5.640086632205429
2024-02-01,4.836305683090048,4.172626261218665,5.461189113916603
2024-02-03,4.534015097292868,3.8022414320403035,5.209647125308506
2024-02-04,4.758211797807351,4.121927729905138,5.425987879029667
2024-02-05,4.848883894925249,4.215901691406265,5.538887868724756
2024-02-07,4.593168731281921,3.9410544616685526,5.258263905611398
2024-02-08,4.639328027441515,3.928996465412459,5.2904809358155696
2024-02-10,4.560428762691214,3.8282745066859243,5.172438907208411
2024-02-11,4.82414407347638,4.140845334085257,5.516503083101966
2024-02-13,4.4417884443620155,3.7942287499059963,5.108342926071524
2024-02-14,4.604554995574074,3.8676057638246935,5.268923287935045
2024-02-15,4.682049513984203,3.981716993258386,5.373836248251411
2024-02-17,4.6711702770834815,3.975380443370596,5.323447094487107
2024-02-18,4.932264545185636,4.202063294529909,5.578714360170976
2024-02-19,4.9980358448899675,4.310788184296518,5.6804316208192915
2024-02-21,4.745186383685546,4.05265226550562,5.468719675869343
2024-02-22,4.843215862714325,4.201587916665307,5.464038465560108
2024-02-24,4.76293658007678,4.093417601420002,5.443802432962757
2024-02-25,4.975011885278607,4.257081636933654,5.616969298921541
2024-02-27,4.649704074475556,4.007991431918982,5.3276420438459295
2024-02-28,4.923694289177971,4.24310016579119,5.554112068568746
2024-03-02,4.915767077523788,4.221537532013987,5.606049714653442
2024-03-03,5.03301300895201,4.393006510940182,5.7263185975471265
2024-03-04,5.004481893401661,4.25234670188722,5.693141995068166
2024-03-06,4.737829460717644,4.096843619990926,5.3406494990543045
2024-03-07,4.834404229134057,4.123237313570714,5.498979999391528
2024-03-09,4.69969579184675,4.0492751628665316,5.35969786763638
2024-03-10,4.903127038247946,4.24424903217034,5.540870588330557
2024-03-12,4.540993173090457,3.854448365480396,5.254275786670098
2024-03-13,4.728469119915413,4.04812994982723,5.395779897384629
2024-03-15,4.6640727880923265,4.003080647058889,5.312513472589117
2024-03-16,4.599829984208099,3.940942514726295,5.289710510224623
2024-03-18,4.928475693628281,4.275152126726389,5.591448587722751
2024-03-19,4.513100572524024,3.8505332460994417,5.147233595509824
2024-03-21,4.7446698780630605,4.103529096648705,5.435583798203306
2024-03-22,4.666923670538153,3.9923425955115293,5.341738231144751
2024-03-24,4.899529709157704,4.273807452837821,5.546499227947857
2024-03-25,4.972040903588456,4.266548629662302,5.672469069180924
2024-03-27,4.689600147839445,3.9900876368525777,5.339750688902412
2024-03-28,4.789241088437692,4.083515531960675,5.433937690769098
2024-03-30,4.877200037696404,4.208228805870306,5.547961733935203
2024-03-31,5.173021499835119,4.490087862197305,5.8761033239624965
2024-04-02,4.694026688796629,4.034831006361915,5.348947075664735
2024-04-03,4.780154297095024,4.0941662240867265,5.491046952222004
2024-04-04,4.801894052619737,4.169324376434759,5.434699902784539
2024-04-06,4.757385875152243,4.053455668462603,5.473727121325471
2024-04-07,5.0140699987478925,4.359311798491751,5.657121262130006
2024-04-09,4.602363076821041,3.9291319962968907,5.280726337741993
2024-04-10,4.77357903237158,4.133240007619347,5.414459499372998
2024-04-12,4.804167807202382,4.0896616661339875,5.453465119987253
