ds,yhat,yhat_lower,yhat_upper
2024-01-01,4.082192997699143,3.401181074356932,4.727187296716926
2024-01-03,3.6733707019640915,3.0151642413268442,4.360548538599646
2024-01-04,3.6701679872376913,3.00793420654735,4.360261885593204
2024-01-06,3.545044270644654,2.9173997192035515,4.23146740492849
2024-01-07,3.71525277677914,3.095406444492305,4.347035917986739
2024-01-09,3.552531704528989,2.9004652140639506,4.283682907776404
2024-01-10,3.5314381122597904,2.841845999721801,4.146808447387614
2024-01-12,3.695824354584575,2.9774504424676094,4.454036702924993
2024-01-13,3.545697877414264,2.824430745420621,4.179656553744583
2024-01-15,3.630787034175495,2.9632139967229727,4.318936669053186
2024-01-16,3.4881296016689136,2.864391769546665,4.204628598253377
2024-01-18,3.7131747939224815,3.1121784684663063,4.338125095565793
2024-01-19,3.727415285991769,3.1022776173200373,4.381222297659759
2024-01-21,3.601520283550307,2.947678275098659,4.264557192557855
2024-01-22,3.6342249853576796,2.989465285582424,4.297417539070902
2024-01-24,3.638745620017308,2.9258760148667213,4.330094326805326
2024-01-25,3.7615011248576757,3.028493361862212,4.415488906668357
2024-01-27,3.4664386737825446,2.787015663931876,4.1475754301148635
2024-01-28,3.6132487039520247,2.9255477111913506,4.2207267590486515
2024-01-30,3.845898418010331,3.200606499632703,4.484379226390549
2024-01-31,3.973430418369578,3.318163456058706,4.587229725874841
2024-02-01,4.044973888132549,3.3763301889971844,4.727723068720145
2024-02-03,3.5285193985854852,2.863667221493052,4.246436020633602
2024-02-04,3.5738855962975555,2.905604794207968,4.23975493765838
2024-02-06,3.6108632033429893,2.947577027624006,4.2957420084024545
2024-02-07,3.676309944063014,3.0679351716754666,4.2859354736390625
2024-02-09,3.6984402860867442,3.051896100623753,4.35527394408537
2024-02-10,3.4944682166586327,2.8362482709524808,4.196114977042877
2024-02-12,3.7078498425451882,3.0617921949605833,4.386245052463547
2024-02-13,3.5950682410031165,2.9129338424793736,4.259321771681933
2024-02-15,3.683447691439172,3.0097505129690747,4.331795934251518
2024-02-16,3.679240066674019,2.9521449192665727,4.308887081386515
2024-02-18,3.6816408802847427,2.993472951441314,4.2836163727622445
2024-02-19,3.707550905266733,3.0629390266189906,4.389284507123614
2024-02-21,3.5579761331860227,2.8955354095599666,4.25029946746817
2024-02-22,3.708506651120259,2.9771291180437847,4.361867263270445
2024-02-24,3.602236055788153,2.931009151039591,4.2848199021859905
2024-02-25,3.674574752359924,2.9949839494100954,4.313576256531391
2024-02-27,3.499117084144758,2.8229712671300287,4.190933448786301
2024-02-28,3.623992821552244,2.951736190152964,4.279770383469394
2024-03-02,3.9141738625006446,3.205871491499455,4.593544342021389
2024-03-03,3.901740547009622,3.207363785604221,4.6144294035200195
2024-03-05,3.506496839141765,2.8314942233285025,4.1526757152631895
2024-03-06,3.5339445489539982,2.8782552565588526,4.186081672707353
2024-03-08,3.7970631719952856,3.151225529618101,4.466044705447631
2024-03-09,3.6130776787776733,2.9551852580372544,4.292452852953636
2024-03-11,3.644448395678546,2.992251752131093,4.291115583783279
2024-03-12,3.5251399732433453,2.906635987429208,4.220056615811054
2024-03-14,3.751999939700272,3.0587162537760912,4.429884493150749
2024-03-15,3.7298487157264577,3.038124122956798,4.390243887074321
2024-03-17,3.590114088922989,2.9106638063618373,4.247070265049259
2024-03-18,3.638641770098913,2.988110130221499,4.262653954355759
2024-03-20,3.5970030246669698,2.9659553687002327,4.321372593653973
2024-03-21,3.6928521432770243,3.025318265450288,4.357269929161567
2024-03-23,3.461154328694623,2.738619041797532,4.18146358630338
2024-03-24,3.609714219672278,2.9434464952090598,4.2685952208831575
2024-03-26,3.5492405496153787,2.8349948864773453,4.195907275720008
2024-03-27,3.515327953968847,2.823384472014083,4.201122698932664
2024-03-29,3.612796925970188,2.968458573563866,4.289813495134884
2024-03-30,3.574893108407206,2.859678790719573,4.254569643683632
2024-04-02,3.8112936574521523,3.169632242327992,4.464308729046031
2024-04-03,3.6774370684167037,2.9693868524811515,4.365273429435965
2024-04-05,3.5757318185135745,2.931770794819229,4.240958653682801
2024-04-06,3.4467070473410986,2.7805143725899786,4.13656345217931
2024-04-08,3.7144376696317347,3.0816934189317005,4.404117620756515
2024-04-09,3.5612305925495336,2.8745578694100176,4.262022375649046
2024-04-11,3.645333824569301,2.999781846369614,4.317986136361393
2024-04-12,3.6758582192809124,2.953796189347874,4.368565373783522
2024-04-14,3.669945269286188,3.015503951539417,4.3608644809909745
2024-04-15,3.6725700944480906,3.015357686500843,4.390031499857688
2024-04-17,3.552357926041706,2.8891211015561105,4.199650040293419
2024-04-18,3.7177293022000866,3.0326771366149106,4.3657639645011495
2024-04-20,3.563052148617592,2.9042582976006153,4.238688204968664
2024-04-21,3.6347557761361164,2.954657489701476,4.309882031920777
2024-04-23,3.5389236794344923,2.8926472748938146,4.178862497092158
2024-04-24,3.618670967873256,2.9661465836787504,4.3564261773763535
2024-04-26,3.716742351579501,3.0480706154422044,4.400662341926951
2024-04-27,3.463401273178893,2.760830750305543,4.125608864354909
2024-04-29,3.6681777012575068,2.9651593571957475,4.36117272698071
2024-04-30,3.7150573773110533,3.0506903864318966,4.37657689116109
2024-05-01,3.8914311598783358,3.2180797925737497,4.572514944085467
2024-05-03,3.904003132684854,3.2818034263801947,4.586933375223344
2024-05-04,3.539887528495786,2.8391704085695584,4.2212742313507885
2024-05-06,3.551121164724058,2.8775859086404507,4.3139151244168605
2024-05-07,3.5056318544659084,2.826182930790386,4.250249092387094
2024-05-09,3.7294889422835547,3.0642878906284547,4.408627198224606
2024-05-10,3.6704510594223962,3.0197969541288776,4.337616073596835
2024-05-12,3.566600469422036,2.907819715282632,4.228751114989974
2024-05-13,3.6469711681365187,2.9820619522743947,4.318007404742236
2024-05-15,3.587018107210728,2.8921418755890387,4.27385813676904
2024-05-16,3.679533169992827,2.98584976593561,4.379139428048146
2024-05-18,3.5109298223236367,2.8674612592752875,4.196318239443324
2024-05-19,3.6694762816843878,2.9964517317695103,4.345319192502305
2024-05-21,3.582589492038829,2.9365447125055297,4.279439929835855
2024-05-22,3.5832771029573833,2.8903806080729924,4.290594294629691
2024-05-24,3.7557301472865046,3.0734311689755582,4.405128726259588
2024-05-25,3.6249808558983974,2.958576413933209,4.301197647259817
2024-05-27,3.7010108761748106,3.0083448734983222,4.3298691544952534
2024-05-28,3.5259980737591934,2.8171167674860693,4.204427139556324
2024-05-30,3.8600599634307233,3.154040887385417,4.483275538266859
2024-05-31,4.031060612492252,3.331755205782921,4.702016668480118
2024-06-01,3.9443671964752096,3.33798885340119,4.607332183368417
2024-06-03,3.8565460402835976,3.1508987827678965,4.509238075330708
2024-06-04,3.566275516519332,2.941832820996411,4.244644341585861
2024-06-06,3.6983508454189487,3.046726224507433,4.356167584874378
2024-06-07,3.772391070382413,3.0801415051204275,4.445972506637109
2024-06-09,3.6929037980087522,3.020480511873928,4.367452385034575
2024-06-10,3.6589093618485085,2.9398997213689633,4.311352803016002
2024-06-12,3.567417863778794,2.882574410697512,4.262232967148651
2024-06-13,3.7341108548794786,3.071154717530403,4.385099370623223
2024-06-15,3.520884280405731,2.8190018685362634,4.128461544371638
2024-06-16,3.590963216019435,2.9007412193776494,4.220640605340815
2024-06-18,3.5316306351053304,2.868313652773565,4.1787080403872805
2024-06-19,3.594060977941289,2.9300295572253643,4.235609990136332
2024-06-21,3.666585565076873,2.9815225749514416,4.339985345689353
2024-06-22,3.460686319522413,2.7857485247755127,4.163265130731117
2024-06-24,3.6697817326690734,2.9237549580588276,4.311346733659309
2024-06-25,3.5687835340421525,2.9077510905096893,4.221650434480323
2024-06-27,3.6127080540814105,2.962175914524134,4.273053610715441
2024-06-28,3.5876037471235533,2.8896410815631244,4.231225905139372
2024-06-30,3.7791110157104937,3.0712102054344657,4.485727082027725
2024-07-01,3.9576374437257686,3.24985264211707,4.638472596642529
2024-07-03,3.7642786731119493,3.124918657418851,4.437392150660347
2024-07-04,3.7083356429681977,3.06300846875781,4.364696596934908
2024-07-06,3.399738894482649,2.7093784942540955,4.068112764229842
2024-07-07,3.587582990551133,2.925100623214671,4.267654328561105
