ds,yhat,yhat_lower,yhat_upper
2024-01-01,4.666913715045905,4.207938039789339,5.161688287414614
2024-01-02,4.146128318675871,3.6864955764391465,4.6224517254999915
2024-01-03,4.526412426181487,4.079127382029993,4.9815314786283285
2024-01-04,5.21916952238137,4.719435978233046,5.731435260294346
2024-01-05,5.10818583542063,4.644388871998363,5.5589663231401145
2024-01-06,4.64762268247659,4.208507371495762,5.13440651444174
2024-01-07,4.8070648412209565,4.340101646052127,5.225873298724732
2024-01-08,4.537957109614418,4.044690514487047,4.993016251083277
2024-01-10,4.822412538945894,4.359984407855036,5.263852072860412
2024-01-11,5.498579142760943,4.994206342062135,5.960905359501676
2024-01-12,5.165952038914344,4.646596274135316,5.658481822400199
2024-01-13,4.487605074881074,3.999199782969841,4.972941699877489
2024-01-14,4.6396440162548895,4.153133789333786,5.106162109280092
2024-01-16,4.494741300805239,4.041619204168254,4.9509547831564475
2024-01-17,5.082574331702572,4.651200391075354,5.5629604451603845
2024-01-18,5.547721747411246,5.091010679806865,5.993534987034944
2024-01-19,4.987303352897301,4.5346639209542765,5.463990626863111
2024-01-20,4.284638290464667,3.8183653292392616,4.717451516676578
2024-01-22,4.795307756626374,4.361730782349492,5.297366952912545
2024-01-23,4.725816419436956,4.249765765324411,5.177220806141954
2024-01-24,5.084401514595376,4.605716630471228,5.530313882569905
2024-01-25,5.284848649531867,4.805010366000985,5.7698708998218455
2024-01-26,4.675056642416062,4.222355582759782,5.13293536565453
2024-01-28,4.832585587465244,4.397202126126415,5.293025642104298
2024-01-29,5.075366920949032,4.616349310705319,5.563914512721651
2024-01-30,4.796268449930384,4.311487559919667,5.256654879395977
2024-01-31,4.827324221444414,4.393199650156878,5.283068356257228
2024-02-01,4.8606514834259915,4.340430873986281,5.345013130933633
2024-02-02,4.370315945814633,3.9025609298253747,4.831447657194832
2024-02-03,4.162277198537703,3.649737960512213,4.631496772084687
2024-02-04,4.981769955540757,4.507883534876507,5.467299977743927
2024-02-05,5.180114228833071,4.714798724499716,5.644203824373875
2024-02-06,4.739325048940294,4.294147526690314,5.214387627366118
2024-02-07,4.7113814324622085,4.223407338226282,5.171031340537537
2024-02-08,4.893407375543457,4.444819482789829,5.393416767234294
2024-02-10,4.534773438102656,4.087120035500624,4.982482247269088
2024-02-11,5.216029102170421,4.734795876705439,5.685699425861813
2024-02-12,5.161564802897142,4.689218550825613,5.640237317009519
2024-02-13,4.591956569516557,4.094344153337912,5.047799147850246
2024-02-14,4.679544328815426,4.197823313568767,5.161617649018026
2024-02-16,4.982999199860832,4.502936080189155,5.4257859397503365
2024-02-17,4.763395819441057,4.258252864391396,5.25217781741395
2024-02-18,5.195251055875851,4.736700876514647,5.671308640998668
2024-02-19,4.998358136037112,4.533798211817399,5.470915695456225
2024-02-20,4.532334087746092,4.068139343613256,4.985323675546449
2024-02-22,5.428443046910139,4.955339626798582,5.900529287162918
2024-02-23,5.18381096239613,4.688992089348894,5.686810170774895
2024-02-24,4.680300729387723,4.22258750656623,5.15552904906962
2024-02-25,4.9282019768971335,4.48466590951775,5.387524630180939
2024-02-26,4.822644554434884,4.312611021231662,5.273209201833647
2024-02-28,5.17922557215991,4.702072039900003,5.68487074126304
2024-03-01,5.106166485908591,4.6618505703270765,5.584573477093822
2024-03-02,4.313639789902595,3.892735075081707,4.768528314578907
2024-03-03,4.526473963398992,4.0494377894129805,5.001594259043461
2024-03-04,4.634801038712069,4.172400185928216,5.1195460919720235
2024-03-05,4.695261859630025,4.217004838042659,5.1406408994879635
2024-03-06,5.2898563746643505,4.846850920167765,5.782366615511057
2024-03-07,5.6333806771740225,5.162558121270159,6.107273606245148
2024-03-08,4.927834981294859,4.441408505980774,5.345301099060803
2024-03-10,4.5925499363342475,4.15274364153874,5.042473031116239
2024-03-11,4.887656563935748,4.43075791563496,5.37429165068014
2024-03-12,4.921656732286136,4.447853095247255,5.379007294496516
2024-03-13,5.287750268302881,4.819617018321243,5.739801412399374
2024-03-14,5.409731760468483,4.975327829501549,5.86365472961245
2024-03-16,4.14636264929256,3.664347811372045,4.622009539322715
2024-03-17,4.7876730510920575,4.336714970455903,5.250359939226594
2024-03-18,5.09825842290376,4.634183371328464,5.560214708160114
2024-03-19,4.93108141361912,4.465598571442468,5.399523801200175
2024-03-20,5.080937529967375,4.5975086645889425,5.5077016267817065
2024-03-22,4.6915137622563545,4.2346590580355725,5.136053443517864
2024-03-23,4.377474832957173,3.929344668305452,4.844193742286289
2024-03-24,5.044794783934732,4.549648434927043,5.4918848057452445
2024-03-25,5.13953323187811,4.652251843708857,5.615731793548675
2024-03-26,4.72005014641529,4.252212329087218,5.205642965125568
2024-03-28,5.170608393567766,4.709443576851519,5.6370136833703315
2024-03-29,4.965804982497321,4.498507427389383,5.41575999124484
2024-03-30,4.740743475392202,4.270559592563524,5.220260194276925
2024-03-31,5.200816959338405,4.7327820777278875,5.6722862491943475
2024-04-01,4.968015494331289,4.494757431316353,5.414447942068168
2024-04-02,4.378900746846229,3.9073946986565087,4.819080150619538
2024-04-03,4.604603514761404,4.153206822878504,5.0986597987141815
2024-04-04,5.211288680148336,4.735615706828045,5.701427560659368
2024-04-05,5.176514720148222,4.713531467041115,5.654555461559208
2024-04-07,5.18247894376337,4.7122209925483,5.650237853199667
2024-04-08,4.877562175100907,4.447703522352425,5.33586005045682
2024-04-09,4.423377498749749,3.923312082175334,4.90737520449484
2024-04-10,4.872765795975675,4.393204560178233,5.352314021509079
2024-04-11,5.5676853905454475,5.103022386049596,6.066271141233622
2024-04-13,4.836609932911704,4.3766091072396645,5.302013369853143
2024-04-14,4.983259644865185,4.513609047253618,5.471226859029238
2024-04-15,4.7846474152076235,4.318512658737425,5.25782775764208
